version,perClass Mira 4.2.7 (26-jun-2023),,,,Object location,,Fixed by image regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format,feature extraction,,,,What is represented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mean spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image,Object,Bounding box,,,,Region,,Content,,band index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
name,name,Column,Row,Width,Height,class,,present,pixels,wavelength,350,354,358,362,366,370,374,378,382,386,390,394,398,402,406,410,414,418,422,426,430,434,438,442,446,450,454,458,462,466,470,474,478,482,486,490,494,498,502,506,510,514,518,522,526,530,534,538,542,546,550,554,558,562,566,570,574,578,582,586,590,594,598,602,606,610,614,618,622,626,630,634,638,642,646,650,654,658,662,666,670,674,678,682,686,690,694,698,702,706,710,714,718,722,726,730,734,738,742,746,750,754,758,762,766,770,774,778,782,786,790,794,798,802,806,810,814,818,822,826,830,834,838,842,846,850,854,858,862,866,870,874,878,882,886,890,894,898,902,906,910,914,918,922,926,930,934,938,942,946,950,954,958,962,966,970,974,978,982,986,990,994,998,1002
../LACM_FISH_10_22_24/rhinecanthus_aculeatus_4400_and_1272_right_34_2024-10-22_13-45-06,reg1 black,200,275,16,3,black patch,,TRUE,48,,0.186662465,0.136344358,0.077009559,0.06144632,0.009873925,0.007416504,0.001989066,0.001190479,0.004205507,0.016442046,0.014361484,0.021125823,0.032032952,0.026762031,0.02654211,0.025513627,0.018735681,0.013303171,0.015167423,0.02171763,0.026744049,0.033337712,0.038819835,0.043954358,0.049546026,0.053333249,0.053564504,0.053202599,0.055022053,0.057219964,0.058940481,0.061422285,0.062922202,0.064739957,0.065908521,0.067520417,0.068299949,0.069178484,0.070266724,0.071607828,0.072711132,0.073769733,0.074840695,0.076537609,0.077990815,0.079586878,0.082865521,0.08595451,0.089073643,0.091944359,0.094515085,0.095634982,0.096632771,0.098175935,0.101287052,0.105294369,0.110587448,0.115756154,0.119507812,0.122128889,0.124543637,0.127672106,0.130754769,0.134908423,0.140036613,0.145665556,0.149923548,0.153856039,0.159320936,0.166524529,0.172720119,0.175750166,0.178820401,0.1857678,0.192822978,0.199446857,0.205755621,0.211893111,0.217138276,0.221690118,0.226275012,0.234537065,0.243800372,0.252791882,0.261099935,0.269619524,0.279912472,0.290480077,0.298140049,0.303969264,0.309914589,0.331630617,0.355343074,0.356311917,0.357371271,0.358391762,0.372827142,0.390378356,0.415697813,0.446059287,0.460164189,0.473587841,0.486639678,0.497014999,0.511607885,0.531190395,0.546714127,0.561946213,0.573103309,0.589303374,0.597121,0.610070944,0.624321342,0.646107256,0.6571877,0.667067647,0.676472187,0.694312274,0.713404596,0.723082542,0.73105669,0.742995977,0.75569886,0.774404645,0.798348665,0.811891019,0.822249174,0.834847093,0.841605425,0.847740591,0.858231544,0.867590427,0.876652837,0.88313055,0.888594508,0.891547859,0.89195013,0.892435968,0.895057321,0.898055077,0.901446819,0.910617471,0.920905769,0.929739594,0.934476733,0.932485461,0.925037026,0.916777849,0.89313674,0.866795063,0.835682392,0.822146654,0.804500699,0.790252686,0.776512504,0.776474237,0.778059006,0.779123485,0.775674045,0.773246765,0.768845201,0.768918514,0.770756245,0.798434436
../LACM_FISH_10_22_24/rhinecanthus_aculeatus_4400_and_1272_right_34_2024-10-22_13-45-06,blue,405,267,5,5,blue patches,,TRUE,25,,0.52034992,0.472719222,0.319797397,0.212363198,0.135464549,0.084202595,0.111174144,0.138352603,0.094726309,0.080928169,0.065290265,0.058193401,0.0561,0.058234666,0.059342105,0.059194565,0.046774983,0.037325688,0.03971792,0.044795256,0.051028393,0.063573599,0.074144393,0.077223711,0.081072584,0.08298789,0.085281715,0.08756835,0.087350942,0.08745227,0.089260064,0.092323244,0.094449364,0.095965929,0.096804462,0.099518672,0.104424961,0.1091647,0.10996253,0.110798344,0.112301879,0.116571978,0.120645963,0.126308441,0.130767614,0.134729385,0.138603568,0.142106682,0.145654067,0.148296788,0.153101549,0.159519717,0.165448591,0.167838201,0.17204842,0.177009389,0.182757393,0.188453823,0.194409475,0.199356109,0.205044508,0.213934213,0.222520441,0.229923829,0.23815611,0.247161418,0.250876606,0.254300296,0.259332955,0.26687777,0.273001313,0.279877365,0.287789494,0.298918933,0.307166129,0.314316273,0.322498351,0.330434918,0.338146329,0.347452074,0.357658505,0.368763775,0.379469812,0.387345642,0.399106205,0.410258979,0.419611126,0.429076046,0.436749786,0.445206851,0.455285221,0.50009346,0.540539324,0.546393991,0.552170217,0.558647513,0.589234531,0.618783474,0.671631753,0.719159961,0.733233094,0.753508389,0.773265183,0.778734207,0.790505528,0.810554385,0.825184762,0.839413524,0.845463157,0.85729146,0.860964894,0.871957123,0.883982301,0.905204594,0.911310732,0.914336622,0.915728688,0.927616417,0.95319885,0.964271843,0.965795875,0.968967199,0.972465515,0.996739626,1.011953592,0.997751296,1.005410314,1.015475154,1.004369259,1.009102345,1.044286728,1.050381541,1.047157168,1.040775418,1.054559469,1.082711935,1.089971781,1.084041476,1.071341634,1.057050109,1.065755725,1.072619557,1.079412699,1.09873867,1.105367184,1.074146032,1.067331076,1.055261016,1.028034568,1.008202076,0.985376894,0.986042976,0.963735044,0.954873562,0.945569277,0.956368744,0.954346418,0.951145589,0.943921328,0.938922763,0.933694422,0.937075198,0.942297578,0.965535164
../LACM_FISH_10_22_24/rhinecanthus_aculeatus_4400_and_1272_right_34_2024-10-22_13-45-06,orange,324,293,6,7,yelloworange patch,,TRUE,42,,0.054246772,0.041693386,-0.008479145,-0.007152289,0.04533973,0.035332765,0.009462688,0.017993227,0.011448225,0.006061678,0.005301912,0.036627945,0.056480426,0.067013063,0.072583333,0.076286875,0.084551886,0.090958618,0.09364827,0.095433161,0.096956462,0.109394908,0.119619451,0.129652858,0.138155267,0.145074204,0.14603819,0.147103891,0.149561062,0.153033987,0.156039178,0.158000246,0.159810737,0.162635356,0.165370747,0.167929262,0.172120184,0.176033497,0.17900686,0.181216329,0.183076367,0.185357183,0.187164351,0.190373749,0.194727123,0.198714003,0.202883139,0.206829756,0.210560307,0.214723244,0.218736261,0.227229461,0.234881818,0.241679713,0.247107551,0.252441287,0.260154486,0.267569721,0.274531603,0.281168997,0.287607312,0.296907008,0.305933088,0.31479764,0.323525757,0.33194387,0.342894316,0.353274554,0.363541096,0.373946697,0.384100914,0.391937256,0.399731815,0.410162061,0.421480089,0.432109296,0.44180876,0.451197028,0.460660249,0.470186293,0.479648411,0.491268814,0.503315985,0.513071358,0.519694865,0.526427746,0.536967397,0.547846496,0.554736376,0.557759643,0.560862541,0.577517211,0.597086728,0.59938854,0.60186249,0.604188919,0.612789035,0.625256479,0.636941135,0.656811476,0.671445668,0.679943025,0.688203812,0.695662916,0.701005459,0.705553234,0.713912308,0.722051382,0.729610026,0.735112369,0.741677999,0.749913394,0.758978605,0.76682508,0.774110079,0.781469882,0.786816657,0.790296316,0.794007659,0.799527586,0.805484056,0.809046686,0.813037276,0.817136526,0.823385,0.830876589,0.83479917,0.839406908,0.842377722,0.841529667,0.840102196,0.840406716,0.839894891,0.840694189,0.843235016,0.840944111,0.828955054,0.816651702,0.818381667,0.820179164,0.822223663,0.827422023,0.832591414,0.834419549,0.833104491,0.831063151,0.829307675,0.827058613,0.817205966,0.800401092,0.780019581,0.761431396,0.746753633,0.736162841,0.730307877,0.722394705,0.719746947,0.716349542,0.713068783,0.710508287,0.70810324,0.702180266,0.694555938,0.686877787
../LACM_FISH_10_22_24/rhinecanthus_aculeatus_4400_and_1272_right_34_2024-10-22_13-45-06,white,352,300,21,8,white patch,,TRUE,168,,0.237590924,0.143624812,-0.008479129,-0.007152282,0.016132507,0.015627189,0.004187174,0.007653071,0.006509987,0.009483759,0.00896058,0.006402061,0.006551798,0.004882839,0.004635675,0.003753661,0.003655328,0.002962955,0.003400641,0.004899987,0.00539797,0.014626416,0.020776581,0.026379209,0.030731356,0.034095846,0.036033008,0.038313579,0.040987898,0.043738279,0.046935108,0.049551249,0.051910702,0.054662172,0.056708053,0.058836661,0.061949555,0.064803421,0.066558927,0.067801341,0.068831608,0.071018443,0.072965935,0.075988196,0.079334132,0.082563177,0.085791424,0.088969156,0.091612332,0.093447559,0.095529355,0.099595435,0.103230253,0.106685787,0.110289358,0.114148289,0.120304555,0.126337349,0.13233985,0.138140082,0.143570513,0.148297012,0.152877197,0.157687217,0.163009316,0.16873908,0.175119326,0.181020781,0.186897174,0.193454906,0.199549615,0.205593705,0.211608022,0.220192239,0.227998674,0.235337555,0.24298963,0.250425935,0.257894933,0.265984654,0.274062991,0.283816785,0.293282986,0.299561948,0.305354744,0.311500162,0.318644971,0.325870454,0.331977814,0.33795616,0.343994886,0.361383975,0.382418036,0.385448277,0.388457626,0.39148882,0.403258413,0.417805731,0.436569273,0.462139875,0.476930261,0.487523556,0.497836798,0.50519681,0.512369692,0.520271063,0.526957989,0.533478141,0.53943485,0.546068847,0.552222431,0.561131775,0.570879877,0.580338478,0.584514081,0.588726163,0.592440188,0.59879601,0.605661571,0.608978689,0.611141741,0.613054752,0.615127683,0.619220555,0.628796101,0.631014526,0.632804334,0.63590157,0.63406986,0.634550214,0.641802192,0.643941462,0.64564985,0.639832914,0.640304625,0.640473306,0.630791962,0.622134209,0.618233204,0.613796711,0.611275136,0.620322943,0.625427544,0.62984091,0.628960669,0.620323837,0.614659369,0.60835886,0.592869937,0.576378584,0.556891263,0.544958949,0.530683637,0.520996869,0.513855934,0.508673072,0.504525542,0.499768823,0.496364474,0.499209791,0.502192736,0.495020479,0.486703187,0.483705312
pablo_no_water_2_2024-12-10_14-14-02,reg1 black,339,427,8,19,black patch,,TRUE,152,,0.033475604,0.018416248,-0.209840745,-0.105038695,-0.039317571,-0.010126719,-0.002684475,-0.001537532,-0.000786596,-0.000293555,-0.000232008,-0.000299428,0.000324884,0.000440564,0.000507019,0.000809716,0.002334126,0.003354344,0.009748745,0.014387362,0.023307541,0.03130443,0.035124615,0.048306596,0.052584704,0.048573617,0.050416626,0.051783379,0.047879349,0.044453863,0.042238098,0.038062148,0.034522288,0.03339589,0.031534091,0.030424172,0.029644407,0.028980618,0.027794013,0.026948139,0.026577834,0.026920937,0.027268758,0.027349958,0.027415665,0.027583135,0.028045896,0.028401796,0.029038934,0.029745139,0.030615384,0.031553779,0.032705113,0.032481015,0.031869885,0.031231485,0.030961147,0.030664438,0.030600285,0.03055911,0.030542323,0.030535387,0.030537253,0.031902719,0.033375755,0.035118736,0.03678105,0.038337193,0.039667163,0.041142855,0.043047857,0.045688637,0.048974335,0.052767288,0.056287006,0.060816038,0.065852284,0.070387699,0.074599937,0.079306625,0.082597658,0.084968038,0.085070267,0.080848105,0.076959305,0.073419012,0.069645114,0.066962905,0.066087827,0.065025225,0.062709913,0.062695697,0.065615132,0.064976186,0.06436877,0.064068221,0.064914241,0.06592387,0.069749124,0.07203,0.073394358,0.075256117,0.077267595,0.079645716,0.082395814,0.085842274,0.089386232,0.092666879,0.094002672,0.095955625,0.096497446,0.097423457,0.098427027,0.100129329,0.101126149,0.101946823,0.104340449,0.107870765,0.111415088,0.114627562,0.116712898,0.119805284,0.123015031,0.131739631,0.136670172,0.136615738,0.141516805,0.143692911,0.143546879,0.146554083,0.156037539,0.16089794,0.160757884,0.164224803,0.166434437,0.166850939,0.166304365,0.166020051,0.165697396,0.166990802,0.171107739,0.171339169,0.180993482,0.184688061,0.180761635,0.173975691,0.173310459,0.171294108,0.171891466,0.173020765,0.177656099,0.177211702,0.175142884,0.17353341,0.17379193,0.182773873,0.189259276,0.194729358,0.195957109,0.198561877,0.199865952,0.200778022,0.202574447,0.202995732
pablo_no_water_2_2024-12-10_14-14-02,reg10 blue,348,176,7,3,blue patches,,TRUE,21,,-0.338834316,-0.244016215,-0.209840581,-0.105038784,-0.039317507,-0.010126736,0.0558853,0.032032937,0.03323739,0.044287514,0.056440223,0.078130782,0.09349338,0.111791931,0.124830388,0.137367398,0.131569698,0.128543854,0.140935645,0.138649896,0.1488083,0.133680925,0.129821643,0.134653986,0.130027354,0.120027862,0.135515809,0.151432008,0.160560802,0.17594029,0.193564847,0.198051229,0.206407279,0.215715542,0.219561741,0.225493371,0.231796816,0.23748818,0.239706025,0.243892908,0.243558407,0.239437997,0.235135898,0.230687872,0.225462809,0.219171464,0.212042853,0.20477441,0.197371528,0.19015123,0.184145436,0.178878278,0.175113291,0.171738222,0.168984577,0.165707543,0.164792284,0.163865864,0.161657304,0.159140438,0.158722907,0.16105178,0.163316518,0.166412145,0.169768512,0.174128398,0.178088114,0.181792364,0.185240403,0.189314842,0.193048909,0.198439553,0.204770729,0.211075112,0.216477439,0.220054865,0.22439912,0.228197604,0.231263295,0.235752672,0.238988683,0.240836084,0.24273023,0.240602538,0.240009174,0.239833117,0.239533514,0.239104211,0.236685008,0.233699843,0.22872366,0.224870637,0.230662346,0.229362905,0.228142127,0.227018252,0.225497797,0.224233747,0.224188447,0.225020796,0.224443138,0.224223137,0.22528705,0.228403524,0.231888905,0.234082654,0.236305624,0.239335269,0.241535708,0.245006025,0.251731694,0.256897569,0.260149717,0.261293948,0.263268173,0.268350899,0.275190324,0.281586677,0.288333684,0.294710249,0.300795466,0.305382431,0.310465246,0.317836344,0.326755494,0.331254959,0.337879211,0.345031053,0.348210305,0.352813959,0.361287862,0.362595797,0.361945808,0.365043759,0.371806413,0.371682912,0.368547469,0.36653012,0.364592254,0.363117307,0.366750121,0.3711088,0.37571159,0.379593462,0.379484862,0.37362358,0.371390998,0.369174957,0.36351347,0.357875317,0.349485576,0.344169796,0.339475334,0.335019857,0.329967946,0.32280457,0.322839141,0.323692083,0.324822068,0.320387214,0.317548692,0.321115613,0.31281209,0.312942684
pablo_no_water_2_2024-12-10_14-14-02,reg6 yellorange,376,284,5,6,yelloworange patch,,TRUE,30,,-0.338834435,-0.244016215,-0.20984064,-0.105038814,0.061205398,0.015678562,0.004148664,0.006295578,0.005167597,0.014521179,0.014060576,0.041045867,0.056708973,0.07647524,0.092302278,0.114277802,0.151021093,0.171716928,0.21178329,0.238177121,0.281680763,0.315735906,0.330364823,0.406725824,0.432289481,0.408759803,0.431776226,0.457007468,0.435114145,0.414330304,0.4019849,0.382063955,0.360205919,0.346133471,0.325949728,0.309125841,0.296136469,0.284409225,0.279211432,0.277009934,0.276476651,0.281271607,0.286002427,0.304410219,0.331721008,0.35983932,0.389702499,0.418913841,0.440443158,0.458198637,0.474541128,0.489388466,0.506986439,0.527558267,0.538592517,0.540974021,0.552643359,0.563950777,0.578078389,0.596728563,0.614629984,0.62672323,0.638418019,0.647103071,0.65289557,0.65742898,0.663650632,0.669599056,0.66941452,0.666071653,0.662756026,0.660413265,0.657847226,0.655280411,0.650581181,0.643628657,0.637914956,0.632214308,0.622779727,0.616574347,0.611082494,0.607494473,0.603787601,0.595380485,0.589760065,0.583034873,0.573486567,0.563291132,0.559222817,0.555139542,0.552119672,0.538729072,0.533522725,0.529065609,0.524530649,0.520786762,0.515848219,0.509926975,0.495087653,0.487095267,0.485539138,0.481676638,0.480301917,0.482325315,0.479076296,0.467526138,0.461090654,0.45618847,0.455863148,0.457892269,0.470468849,0.456023008,0.435753852,0.420811206,0.437056005,0.459724605,0.464805543,0.460706979,0.456692249,0.457005322,0.458927125,0.457094222,0.455324948,0.450356483,0.453388751,0.454613,0.451744884,0.449115604,0.445400864,0.442597836,0.445987284,0.445446134,0.441690028,0.436224222,0.435812473,0.437178642,0.43506065,0.431835294,0.427882671,0.423594058,0.424564362,0.423339069,0.422658116,0.422753453,0.419062793,0.411693156,0.408645958,0.406293929,0.400466323,0.394968569,0.385463268,0.370456904,0.354017764,0.350213528,0.351531118,0.344024211,0.342595398,0.342340529,0.345907331,0.348877668,0.350021601,0.350391537,0.338169903,0.325959742
pablo_no_water_2_2024-12-10_14-14-02,reg4 white,377,220,8,38,white patch,,TRUE,304,,1.336557031,1.46179378,1.678016067,0.683614492,0.268203199,0.058630843,0.231305376,0.296069324,0.421686769,0.499765247,0.532704771,0.545568943,0.551648021,0.55604589,0.556317508,0.57887888,0.586241364,0.590170383,0.628628552,0.622463167,0.683465838,0.66747129,0.660607874,0.730830073,0.728975415,0.670691252,0.727359474,0.787527502,0.772347748,0.773719013,0.796831906,0.789390802,0.787608802,0.80451262,0.802315354,0.815068364,0.843388736,0.868853807,0.88869977,0.911138117,0.931283057,0.947639763,0.963585734,0.971219242,0.976693392,0.983421445,0.985570431,0.986850142,0.979735851,0.973753154,0.970913947,0.97699219,0.989642978,1.004290223,1.008859038,0.996752799,0.97984767,0.962972462,0.952639759,0.947926998,0.944185793,0.942955732,0.941742122,0.932691276,0.920153677,0.908434033,0.898823977,0.889764071,0.875652194,0.86165899,0.846539974,0.834100902,0.822242439,0.81029135,0.795634806,0.780791521,0.770400226,0.759123206,0.744191051,0.733249605,0.725379944,0.72173363,0.718051195,0.717872322,0.722359478,0.723718286,0.719720244,0.715394437,0.717047572,0.717922449,0.717971325,0.709728837,0.720141113,0.720555007,0.720973849,0.722500563,0.721300006,0.719958901,0.709466934,0.704211831,0.7049734,0.703626573,0.706013262,0.71277076,0.714839518,0.707077861,0.705706179,0.706512153,0.708267391,0.709501505,0.724983692,0.718761563,0.70490855,0.682829142,0.676049948,0.678306341,0.672085941,0.658722281,0.650203049,0.647458613,0.646248102,0.641004741,0.635398388,0.626007915,0.618507326,0.609383225,0.602594078,0.595578611,0.584224045,0.573158741,0.573059261,0.568085492,0.557412922,0.543376863,0.536397159,0.537524879,0.53416574,0.532541215,0.531555057,0.530348003,0.537358642,0.542748988,0.549061954,0.558036506,0.561142266,0.555154085,0.552174747,0.550088227,0.542911649,0.53593415,0.524250388,0.51564163,0.507768989,0.504161656,0.499533355,0.484864503,0.482614815,0.482381076,0.490756899,0.504663587,0.519666553,0.519535303,0.50304842,0.48797667
